,GPP,GPP_MOSS,NPP,NPP_MOSS,QVEGT,QVEG_MOSS,NEE,TOTVEGC
moss_long,0.00E+00,4.43E-02,0.00E+00,0.00E+00,5.28E-02,1.56E-01,0.00E+00,0.00E+00
crit_onset_gdd,4.48E-02,4.07E-02,6.60E-02,2.90E-02,8.42E-02,4.28E-02,2.84E-02,2.36E-02
flnr_picea,2.27E-01,0.00E+00,9.39E-02,0.00E+00,1.05E-01,0.00E+00,7.16E-02,7.91E-02
flnr_moss,2.87E-02,1.62E-01,2.16E-02,1.54E-01,2.59E-02,8.63E-02,0.00E+00,0.00E+00
leafcn_picea,3.50E-01,1.15E-02,7.77E-02,0.00E+00,7.76E-02,1.39E-02,6.29E-02,7.85E-02
leafcn_larix,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E-02,0.00E+00,3.09E-02,6.91E-03
leafcn_shrub,0.00E+00,1.65E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
leafcn_moss,8.49E-02,6.41E-01,4.99E-02,5.45E-01,4.45E-02,2.35E-01,0.00E+00,0.00E+00
slatop_picea,1.35E-01,0.00E+00,3.90E-02,0.00E+00,0.00E+00,0.00E+00,3.94E-02,2.71E-02
slatop_shrub,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
slatop_moss,0.00E+00,2.65E-02,0.00E+00,1.38E-02,4.21E-02,1.59E-01,0.00E+00,0.00E+00
stem_leaf_picea,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.36E-03,0.00E+00,6.17E-02,5.14E-02
froot_leaf_picea,0.00E+00,0.00E+00,7.34E-02,0.00E+00,7.36E-02,0.00E+00,1.21E-01,1.44E-01
froot_leaf_larix,0.00E+00,0.00E+00,1.41E-02,0.00E+00,1.40E-02,0.00E+00,3.44E-02,1.01E-02
froot_leaf_shrub,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
npt_moss,0.00E+00,1.41E-02,1.63E-02,1.11E-01,6.18E-02,2.23E-01,0.00E+00,0.00E+00
mp_picea,2.01E-02,0.00E+00,0.00E+00,0.00E+00,6.53E-02,0.00E+00,0.00E+00,8.01E-03
mp_larix,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E-02,0.00E+00,0.00E+00,4.16E-03
mp_shrub,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.41E-03,0.00E+00,0.00E+00,0.00E+00
"qdrai,0",3.84E-02,4.29E-02,1.17E-02,3.94E-02,3.19E-02,4.55E-02,0.00E+00,4.28E-03
br_mr,0.00E+00,0.00E+00,3.59E-01,9.56E-02,2.00E-01,2.33E-02,2.39E-01,1.72E-01
q10_mr,2.78E-02,0.00E+00,1.15E-01,0.00E+00,4.13E-02,0.00E+00,1.24E-01,8.14E-02
decomp_depth_efolding,4.35E-02,0.00E+00,3.96E-02,0.00E+00,1.58E-02,0.00E+00,1.96E-02,1.29E-02
r_mort,0.00E+00,0.00E+00,0.00E+00,1.27E-02,0.00E+00,0.00E+00,1.31E-01,2.34E-01
grperc,0.00E+00,0.00E+00,2.26E-02,0.00E+00,1.07E-02,0.00E+00,1.43E-02,1.11E-02
