# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 4.734540600343236179e+02 4.361061381733623534e+02 4.112825438530799715e+02 3.819957435083712767e+02 3.451717654423971453e+02 2.934646221141419460e+02
2.016000000000000000e+03 4.677960714086293592e+02 4.651238729992928711e+02 4.984959109381057374e+02 5.240761802924976109e+02 5.239027041904394082e+02 4.830324399915940035e+02
2.017000000000000000e+03 4.453551415526416690e+02 4.244086350160669099e+02 4.105387842499957856e+02 3.959237985014404444e+02 3.858111154871355666e+02 3.966384465762911304e+02
2.018000000000000000e+03 4.780022868659771120e+02 4.759034555081323674e+02 4.995234300235040337e+02 5.015808901007185341e+02 4.988023059622508413e+02 4.695713359072090611e+02
2.019000000000000000e+03 4.759270327308717583e+02 4.524717941109942103e+02 4.521155326952336964e+02 4.456721721752081748e+02 4.352243315371921994e+02 4.203961989799096273e+02
2.020000000000000000e+03 4.302240036309639208e+02 4.284275576231337368e+02 4.369532610244672242e+02 4.566614856712704977e+02 4.624962503237736655e+02 4.456424522195624718e+02
2.021000000000000000e+03 5.036174194786050293e+02 4.654821989184054019e+02 4.734159756443989409e+02 4.769451605541965478e+02 4.884518913792332455e+02 4.952970982717636730e+02
2.022000000000000000e+03 4.550670189952195415e+02 4.612996879684174019e+02 4.404319486481124954e+02 4.407892198290185206e+02 4.062262767007332513e+02 3.809271948382730102e+02
2.023000000000000000e+03 4.980613829199343172e+02 4.544811138615119717e+02 4.983746892564802238e+02 5.076201548126991838e+02 5.691310662495156976e+02 5.542888747737923723e+02
2.024000000000000000e+03 4.246649245736758758e+02 4.407923129239295008e+02 4.240812245259592146e+02 4.324416903474499350e+02 4.142653005071452412e+02 4.317631489007629852e+02
2.025000000000000000e+03 5.176418200900704960e+02 4.653383803295178609e+02 5.047006686798062560e+02 5.066214563416511396e+02 5.391683479808679067e+02 5.063646655523536992e+02
