# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 4.734540600343236179e+02 5.473392213322539419e+02 5.340709163711741212e+02 5.168729800701987642e+02 4.865314142892635800e+02 4.439710725856324416e+02
2.016000000000000000e+03 4.677960714086293592e+02 4.676715628285438129e+02 4.943518553135760385e+02 5.104456647092809476e+02 5.209091888478689043e+02 5.478868007030112040e+02
2.017000000000000000e+03 4.453551415526416690e+02 5.017570364306068882e+02 4.984206948296965720e+02 4.957279821788644085e+02 4.905732585328109963e+02 4.782363663607003446e+02
2.018000000000000000e+03 4.780022868659771120e+02 4.945301373103022229e+02 5.119635266050361793e+02 5.283132985430252120e+02 5.515495794937392020e+02 5.673610267586620921e+02
2.019000000000000000e+03 4.759270327308717583e+02 5.178362577951124877e+02 5.273617098737857987e+02 5.330665373815833163e+02 5.297460973420323853e+02 5.234433588878077899e+02
2.020000000000000000e+03 4.302240036309639208e+02 4.474302020140047489e+02 4.664569682723770256e+02 4.839929635935424699e+02 5.157713056260731719e+02 5.264054920463214557e+02
2.021000000000000000e+03 5.036174194786050293e+02 5.197258713250737401e+02 5.269154104957406162e+02 5.462423668324505570e+02 5.541057115798117820e+02 5.640699506826599645e+02
2.022000000000000000e+03 4.550670189952195415e+02 4.973645336436412663e+02 4.939970972248354997e+02 4.871737992657936047e+02 4.805407499109439300e+02 4.616719736775930869e+02
2.023000000000000000e+03 4.980613829199343172e+02 5.010964380333184067e+02 5.308872364582301770e+02 5.666496447194635948e+02 5.993863728172934771e+02 6.535517930360282435e+02
2.024000000000000000e+03 4.246649245736758758e+02 4.762205543048005438e+02 4.751890658124964375e+02 4.789926344555634614e+02 4.761559183572637153e+02 4.711229276131452366e+02
2.025000000000000000e+03 5.176418200900704960e+02 5.140072989623785134e+02 5.387196269915784796e+02 5.677669480975114311e+02 6.104210194150510915e+02 6.508704859748102081e+02
