# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 4.267256999432670739e+01 5.165167733124694394e+01 5.796460470035303558e+01 6.560403158079451202e+01 6.873741750362273706e+01 7.178424117755017164e+01
2.016000000000000000e+03 4.244489996733580028e+01 4.853682143819739281e+01 5.164764406313341283e+01 5.855797599443344836e+01 6.657883435008962181e+01 8.010046702792985229e+01
2.017000000000000000e+03 4.379609459819469208e+01 6.051762012975019900e+01 7.378853731385315484e+01 7.995049921708425700e+01 8.632679014517788119e+01 9.319731728581409413e+01
2.018000000000000000e+03 4.349931553590033673e+01 5.173421196008395384e+01 5.631222947297359127e+01 6.371755108014799873e+01 7.552451973033235788e+01 9.143475185759466228e+01
2.019000000000000000e+03 4.595766713855579866e+01 6.326947161126196306e+01 7.908059006602132968e+01 8.856985820764855077e+01 1.005920500948088261e+02 1.153358400280828704e+02
2.020000000000000000e+03 4.149747822578631684e+01 4.722905365591966387e+01 5.278619037982349482e+01 5.863935581665460006e+01 6.852101996216998714e+01 8.856596426797173649e+01
2.021000000000000000e+03 4.138418027137835509e+01 5.621270433499982744e+01 6.905678875499697256e+01 8.228413077949112164e+01 9.803821264642485289e+01 1.124668095597881745e+02
2.022000000000000000e+03 4.349289735418224012e+01 5.675159965726103195e+01 6.793872477492591599e+01 7.608361319430697733e+01 8.639696736805011312e+01 1.074384404634716930e+02
2.023000000000000000e+03 4.011869201980754696e+01 5.333721628281215743e+01 6.177753716362542491e+01 7.643651838083739847e+01 9.248219098227274060e+01 1.194966242330934847e+02
2.024000000000000000e+03 4.602152367363748198e+01 6.157203285124331416e+01 7.617460446842254385e+01 8.227769971744223199e+01 9.179879024665238774e+01 1.091089888271562955e+02
2.025000000000000000e+03 4.263624296821997461e+01 5.399117745913487454e+01 6.140873923866459450e+01 7.480027348448388125e+01 8.788436465768263872e+01 1.140348082699458132e+02
