# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 4.267256999432670739e+01 5.556368734100241369e+01 6.402603283901208897e+01 7.381331550497129967e+01 7.862018755456892904e+01 8.371917672939163424e+01
2.016000000000000000e+03 4.244489996733580028e+01 4.802968326343166439e+01 5.212165082166681174e+01 5.755853294519283025e+01 6.524916434383139574e+01 7.875450716029003217e+01
2.017000000000000000e+03 4.379609459819469208e+01 6.045526814666180115e+01 7.452156340844334181e+01 8.153473083109416564e+01 8.976057570933014063e+01 1.013329808860614349e+02
2.018000000000000000e+03 4.349931553590033673e+01 5.115095047858107336e+01 5.627185114716886716e+01 6.331952452128540898e+01 7.643213143443726665e+01 9.139676284880755475e+01
2.019000000000000000e+03 4.595766713855579866e+01 6.200165399409548428e+01 7.783998378530476714e+01 9.078666491612101197e+01 1.081466018350628246e+02 1.265083773846849482e+02
2.020000000000000000e+03 4.149747822578631684e+01 4.566246139133057369e+01 4.779132182620662661e+01 5.565927477869013273e+01 6.529225885854867784e+01 8.296733780387603474e+01
2.021000000000000000e+03 4.138418027137835509e+01 5.371081858851627544e+01 6.533586637705546707e+01 7.987177456118804741e+01 9.828702737132061884e+01 1.171606072365467952e+02
2.022000000000000000e+03 4.349289735418224012e+01 5.612638455352961131e+01 6.934271028829959960e+01 8.047090537429633628e+01 9.243837736993175724e+01 1.105151251467859339e+02
2.023000000000000000e+03 4.011869201980754696e+01 5.121377129085196600e+01 5.967322249243690635e+01 7.295037989255610000e+01 8.878173643779483371e+01 1.157290670943812074e+02
2.024000000000000000e+03 4.602152367363748198e+01 6.201381797610044089e+01 7.702456033577817607e+01 8.599408140519719268e+01 9.495206954852707781e+01 1.116733389785474202e+02
2.025000000000000000e+03 4.263624296821997461e+01 5.240330328811150906e+01 5.992739393168747597e+01 7.135179723521565620e+01 8.819018088314787462e+01 1.119985423998097787e+02
