# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 1.128819231827019678e+02 9.404586280964791456e+01 8.015269144252954447e+01 6.089993406384195396e+01 3.708717885736626840e+01 4.588585382462184725e+00
2.016000000000000000e+03 1.126454225723280587e+02 1.071582126408706728e+02 1.032943542031688366e+02 1.004739692810897509e+02 9.486856025394843073e+01 4.456475423284386039e+01
2.017000000000000000e+03 1.233829356426675048e+02 1.010863262111520555e+02 8.610714169623889802e+01 6.901022973941714156e+01 4.754563251143935076e+01 4.643620681425417729e+01
2.018000000000000000e+03 1.159686923845676176e+02 1.052567412617676581e+02 9.806119472166452056e+01 8.969626690264327351e+01 7.412945228095109940e+01 3.273759215460998462e+01
2.019000000000000000e+03 1.214818518421864866e+02 1.037383338401676696e+02 8.732274461489028283e+01 6.469737556252086108e+01 3.575863567415496647e+01 8.050259310791219036e+00
2.020000000000000000e+03 1.107802385310236559e+02 9.780894739950092287e+01 9.238487530528196601e+01 8.773441690809846705e+01 8.294268635492869635e+01 3.920981486775474423e+01
2.021000000000000000e+03 1.192733879244741502e+02 1.061234890076841282e+02 9.406099634904875018e+01 7.535016755219935192e+01 4.978171660508835572e+01 4.050260427716664680e+01
2.022000000000000000e+03 1.118318249549507613e+02 9.545940013727120288e+01 8.802409263074980572e+01 7.654817848935557834e+01 5.494018167549725717e+01 4.378533429804232213e+00
2.023000000000000000e+03 1.106431683698742745e+02 9.915990537338041122e+01 8.763549810369326565e+01 7.313407438512557235e+01 5.675192686070867154e+01 2.665312319803012642e+01
2.024000000000000000e+03 1.253184809244075240e+02 1.017619481758302555e+02 9.053373655373917472e+01 7.909069935676545526e+01 5.676731739488616313e+01 2.365580944918477257e+01
2.025000000000000000e+03 1.139711620155837863e+02 1.000491245646333596e+02 8.761547181986841792e+01 7.336617954263279273e+01 5.191748263884647230e+01 8.479509303125865927e+00
