# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 1.128819231827019678e+02 1.410708031264078954e+02 1.330416303491119834e+02 1.181284062562895087e+02 1.010305046105189746e+02 7.692965629555708063e+01
2.016000000000000000e+03 1.126454225723280587e+02 1.172240463190811539e+02 1.124510798258236264e+02 1.093256644523155501e+02 1.059715042799865756e+02 9.813552758468655668e+01
2.017000000000000000e+03 1.233829356426675048e+02 1.381321306028437732e+02 1.278095168166942130e+02 1.191438386237024361e+02 1.039531958089142449e+02 8.205666782655924862e+01
2.018000000000000000e+03 1.159686923845676176e+02 1.271299659238923851e+02 1.189123592244250460e+02 1.137970151279518092e+02 1.052902879764282318e+02 9.208774526940715077e+01
2.019000000000000000e+03 1.214818518421864866e+02 1.379970871185143722e+02 1.286649663725775383e+02 1.159227219395169897e+02 9.600897225927536738e+01 6.835769588455696066e+01
2.020000000000000000e+03 1.107802385310236559e+02 1.178256478667691454e+02 1.134014622087199911e+02 1.097054231379587605e+02 1.054986203476321691e+02 9.590178086250223544e+01
2.021000000000000000e+03 1.192733879244741502e+02 1.345361172917975239e+02 1.298926347361121145e+02 1.208335653872304789e+02 1.049989542298387732e+02 8.360250448127288792e+01
2.022000000000000000e+03 1.118318249549507613e+02 1.214146773157651040e+02 1.155759613242215806e+02 1.059182777316389235e+02 9.255146428737255349e+01 6.990066789932853908e+01
2.023000000000000000e+03 1.106431683698742745e+02 1.254307854101696904e+02 1.177867528472056335e+02 1.101357107397575277e+02 9.975915494317355581e+01 8.356447868455227024e+01
2.024000000000000000e+03 1.253184809244075240e+02 1.260971523171612318e+02 1.173146921791015984e+02 1.101209758523561391e+02 9.771695404706201771e+01 7.618200377306413884e+01
2.025000000000000000e+03 1.139711620155837863e+02 1.319817017384586677e+02 1.210272567906690284e+02 1.139409101939776292e+02 1.005577018824254907e+02 8.282491069298966124e+01
