# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 9.568096232404577961e+01 1.025567953312868354e+02 1.077826866534175991e+02 1.152242390803597800e+02 1.146817604866043894e+02 1.138727318990943331e+02
2.016000000000000000e+03 1.052751405962492584e+02 1.096971146159703352e+02 1.122289113330588464e+02 1.186582821211987948e+02 1.263363615963275777e+02 1.425265394364483882e+02
2.017000000000000000e+03 9.621428055320809847e+01 1.177045672198588022e+02 1.330487622187668251e+02 1.379680366343289677e+02 1.410820906335001155e+02 1.410992502078527480e+02
2.018000000000000000e+03 1.059641834753292784e+02 1.096942609375207951e+02 1.114240186607674588e+02 1.200716468623221544e+02 1.344897408805502721e+02 1.570521645909465747e+02
2.019000000000000000e+03 1.061967891465523763e+02 1.331525258700549159e+02 1.583469610362943172e+02 1.687357718597052383e+02 1.774994697434403008e+02 1.813173626483077783e+02
2.020000000000000000e+03 9.708862342179072868e+01 9.433009423402504012e+01 9.568859226228498471e+01 1.024225867936907548e+02 1.146194426575513035e+02 1.438616212489710620e+02
2.021000000000000000e+03 1.023776849551026515e+02 1.323739041579564173e+02 1.587925058062332084e+02 1.765836208756770418e+02 1.936057079523257300e+02 1.966178996955915466e+02
2.022000000000000000e+03 1.026468012417195723e+02 1.087788876285534485e+02 1.139521876358651724e+02 1.206568884501996877e+02 1.314479549998310404e+02 1.648585247906845836e+02
2.023000000000000000e+03 9.590840285911488650e+01 1.229367583927853929e+02 1.446997976472909215e+02 1.684673690375478827e+02 1.894852275487649820e+02 2.110226304382427145e+02
2.024000000000000000e+03 1.044928716259131534e+02 1.206196995689488034e+02 1.316060553761353447e+02 1.345033120674357576e+02 1.438249797497235249e+02 1.722049492001179658e+02
2.025000000000000000e+03 9.801580494722009007e+01 1.195239388974650154e+02 1.375406717033822872e+02 1.628868431526068719e+02 1.858528362374786127e+02 2.147266550312594688e+02
