# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 9.568096232404577961e+01 1.132821344786297715e+02 1.222156869289546108e+02 1.320597432458678782e+02 1.335465958772311410e+02 1.352259378380869634e+02
2.016000000000000000e+03 1.052751405962492584e+02 1.037923524008661929e+02 1.071090121967350655e+02 1.108207305860382519e+02 1.180249254063653552e+02 1.335245681565884297e+02
2.017000000000000000e+03 9.621428055320809847e+01 1.217390733085110242e+02 1.397870678643362510e+02 1.460395043086219573e+02 1.512780409021551122e+02 1.581723584695598674e+02
2.018000000000000000e+03 1.059641834753292784e+02 1.034567359037758223e+02 1.056295270512188154e+02 1.123830556075214133e+02 1.283078705441152465e+02 1.483027304420703558e+02
2.019000000000000000e+03 1.061967891465523763e+02 1.319992530977837646e+02 1.583947189452362352e+02 1.734441168448965129e+02 1.896643264681807750e+02 2.048017480850114964e+02
2.020000000000000000e+03 9.708862342179072868e+01 8.876726891632560523e+01 8.613084362767841640e+01 9.370929189141864413e+01 1.065967159452036128e+02 1.310101558275785862e+02
2.021000000000000000e+03 1.023776849551026515e+02 1.252199027609609914e+02 1.508030590765899603e+02 1.722450288277555046e+02 1.960986531845713330e+02 2.156735578015658064e+02
2.022000000000000000e+03 1.026468012417195723e+02 1.045569935914554094e+02 1.118237416969917888e+02 1.202945290182922662e+02 1.321146382576545477e+02 1.571380484643883619e+02
2.023000000000000000e+03 9.590840285911488650e+01 1.135151984752708643e+02 1.346275776061324052e+02 1.581396542410001871e+02 1.843637787424916326e+02 2.201570259248077548e+02
2.024000000000000000e+03 1.044928716259131534e+02 1.173632069769094812e+02 1.307322020821621607e+02 1.357944889226902490e+02 1.427280992369864236e+02 1.632012652967997326e+02
2.025000000000000000e+03 9.801580494722009007e+01 1.107628558545602289e+02 1.277902719587865192e+02 1.509444366893954736e+02 1.827454785660845289e+02 2.216595392918696632e+02
