# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 4.049156028822409326e+01 3.841374029345559649e+01 3.973604897026677207e+01 3.894290744903314305e+01 3.778814581972724795e+01 3.655013612224831832e+01
2.016000000000000000e+03 3.650995989252123763e+01 3.293385915461897184e+01 3.653012503107219544e+01 3.743843352414444325e+01 3.890350983481383196e+01 4.222708226615275606e+01
2.017000000000000000e+03 3.723206438518928962e+01 3.566178042128740344e+01 3.539002093652854342e+01 3.712817767846416928e+01 4.042389475747674510e+01 4.127702274473392663e+01
2.018000000000000000e+03 3.474646679209599398e+01 3.084706153702612141e+01 3.746503926113717142e+01 3.758430776809902341e+01 4.425383394269103832e+01 4.609267331404112866e+01
2.019000000000000000e+03 4.672435079326078267e+01 4.529623070164916498e+01 4.423157430855431471e+01 4.726726454300661118e+01 4.766337139470628159e+01 4.693731115328887427e+01
2.020000000000000000e+03 2.729195025546004771e+01 2.470558165884426316e+01 2.912474334408443610e+01 3.146507955660240086e+01 3.975631784400376745e+01 4.848775162382708004e+01
2.021000000000000000e+03 4.254683369073859467e+01 4.500493175418966274e+01 4.357780268642983401e+01 4.700487170825055472e+01 4.814679257456084827e+01 4.472496444171092378e+01
2.022000000000000000e+03 3.842440993923049319e+01 3.624208603563303654e+01 4.135789167374639419e+01 4.341406458969262872e+01 5.007987061244208604e+01 5.778289669326568401e+01
2.023000000000000000e+03 3.750575487732134405e+01 3.461927448156245646e+01 3.577796045779706446e+01 4.085418212979589470e+01 4.077019466747984211e+01 4.095952914745240037e+01
2.024000000000000000e+03 3.605562803541886296e+01 3.427820730053667830e+01 3.720465449116120027e+01 4.038547865419985072e+01 5.042451707585033205e+01 5.494167183034478086e+01
2.025000000000000000e+03 3.568495640655270762e+01 3.209345649057775773e+01 3.607185590099177119e+01 4.034659218007590198e+01 4.443176989293391443e+01 4.713939193620575452e+01
