# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 4.049156028822409326e+01 4.510494572229220012e+01 4.739590086470997221e+01 4.724940111012809751e+01 4.784884590663525472e+01 4.762464475705598232e+01
2.016000000000000000e+03 3.650995989252123763e+01 3.280602890983602293e+01 3.559708642832788428e+01 3.688681983783226315e+01 3.943804701578024208e+01 4.196493531750338235e+01
2.017000000000000000e+03 3.723206438518928962e+01 4.003239188131146875e+01 4.071665257965406681e+01 4.174897616515522714e+01 4.769925749193451026e+01 4.979996075156520163e+01
2.018000000000000000e+03 3.474646679209599398e+01 3.138411586015763177e+01 3.671963578956293617e+01 3.862541322615413719e+01 4.305625591313537370e+01 4.628667884541215471e+01
2.019000000000000000e+03 4.672435079326078267e+01 4.826227540189052689e+01 4.865992927417863001e+01 5.033687850442163381e+01 5.426993913507232037e+01 5.576154900143351512e+01
2.020000000000000000e+03 2.729195025546004771e+01 2.624831348866791814e+01 3.017217121551638570e+01 3.392680948832521182e+01 4.002757741883158360e+01 4.632610173076514570e+01
2.021000000000000000e+03 4.254683369073859467e+01 4.614628912527827254e+01 4.693144555594983558e+01 4.845615606973083800e+01 5.062043571272737807e+01 5.252163023665161035e+01
2.022000000000000000e+03 3.842440993923049319e+01 3.800462782654072669e+01 4.105531104612083482e+01 4.612615519034619638e+01 5.161184622215272810e+01 5.665318564865629014e+01
2.023000000000000000e+03 3.750575487732134405e+01 3.602986106983365744e+01 3.865576788279278730e+01 4.168283921434010608e+01 4.405771803798472774e+01 4.776660217227401972e+01
2.024000000000000000e+03 3.605562803541886296e+01 3.554876566738016663e+01 3.684922367023443002e+01 4.234941985600641345e+01 4.899001448502958311e+01 5.423940367053621259e+01
2.025000000000000000e+03 3.568495640655270762e+01 3.339382898772740305e+01 3.913112432157959120e+01 4.158311756764305755e+01 4.779641851407436803e+01 5.283655179249251432e+01
