# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 1.817270442450250982e+02 1.494380624077251696e+02 1.256465120865129990e+02 1.013246313343419303e+02 8.687726277507650252e+01 6.666892753278688133e+01
2.016000000000000000e+03 1.709206483801949616e+02 1.667978651496354985e+02 1.947948763076723537e+02 2.089475193716312162e+02 1.972154381552599034e+02 1.736135970282191465e+02
2.017000000000000000e+03 1.447297663733820627e+02 1.094383410340185492e+02 8.220432208460835000e+01 7.186685523214589466e+01 7.043270743954153090e+01 7.462864952363617022e+01
2.018000000000000000e+03 1.778236286780838498e+02 1.783711798117337821e+02 1.962609479069612917e+02 1.905111174875059987e+02 1.704047591277259528e+02 1.422541539900166185e+02
2.019000000000000000e+03 1.555663738103162643e+02 1.070152320878605678e+02 8.313366266947355143e+01 7.640190200232694906e+01 7.371080463008183870e+01 6.875542583943889952e+01
2.020000000000000000e+03 1.535657131969031752e+02 1.643538806748438219e+02 1.669688597329922857e+02 1.764000465962242572e+02 1.566567835051198756e+02 1.255173002110377780e+02
2.021000000000000000e+03 1.980353326369112210e+02 1.257671696635754017e+02 1.079278820476901046e+02 9.572236963857854164e+01 9.887946160083345148e+01 1.009848202975064169e+02
2.022000000000000000e+03 1.586710855051364888e+02 1.640677145096987033e+02 1.291590519328252356e+02 1.240864751054637196e+02 8.336130204491283280e+01 4.646879946104682801e+01
2.023000000000000000e+03 2.138853647938162794e+02 1.444279593309715608e+02 1.684838958840735756e+02 1.487280108793925137e+02 1.896415261902895111e+02 1.561569677569735859e+02
2.024000000000000000e+03 1.127764203142987895e+02 1.225604250273704565e+02 8.856217363650102925e+01 9.618450055160680279e+01 7.144969604003286179e+01 7.185172959395913495e+01
2.025000000000000000e+03 2.273336537524939729e+02 1.596806829177068892e+02 1.820639300168991781e+02 1.552215679818516492e+02 1.690818945539263041e+02 1.219843010118168536e+02
