# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 1.817270442450250982e+02 1.923176506639216257e+02 1.673916653893854800e+02 1.456221139529418167e+02 1.254852803403092878e+02 1.004716569655408023e+02
2.016000000000000000e+03 1.709206483801949616e+02 1.658194519353287433e+02 1.870730260410226720e+02 1.958539168879021304e+02 1.922255478019053214e+02 1.955072624839428101e+02
2.017000000000000000e+03 1.447297663733820627e+02 1.413981724912787286e+02 1.155858941605686141e+02 1.072609322502906082e+02 9.788218862047699531e+01 8.687439842695461323e+01
2.018000000000000000e+03 1.778236286780838498e+02 1.814083691438952428e+02 1.944301533926605146e+02 2.001882900601124788e+02 1.984630336256230976e+02 1.892871093529649329e+02
2.019000000000000000e+03 1.555663738103162643e+02 1.375759881828283824e+02 1.138021114964885783e+02 1.025761551766272959e+02 8.165625764444115475e+01 6.801398853212089080e+01
2.020000000000000000e+03 1.535657131969031752e+02 1.689265103509115136e+02 1.889611693942555064e+02 1.909921642971497135e+02 1.983561330558572706e+02 1.702001158215994110e+02
2.021000000000000000e+03 1.980353326369112210e+02 1.601127435585205205e+02 1.339524047500333381e+02 1.248358419865457734e+02 1.041006410813537286e+02 9.511165092662299969e+01
2.022000000000000000e+03 1.586710855051364888e+02 1.772618503563503225e+02 1.561993728692015964e+02 1.343639319512199108e+02 1.118244237738323932e+02 6.746494651843394763e+01
2.023000000000000000e+03 2.138853647938162794e+02 1.749068217871922570e+02 1.801439156296623594e+02 1.837410606318094324e+02 1.824239846558486988e+02 1.863346191600129771e+02
2.024000000000000000e+03 1.127764203142987895e+02 1.351976113672492374e+02 1.132683875452201505e+02 1.047336684193133749e+02 9.176878103965860589e+01 6.582691589419768263e+01
2.025000000000000000e+03 2.273336537524939729e+02 1.854656090935208113e+02 1.908435799888557938e+02 1.899466864112795861e+02 1.911312395693187227e+02 1.815509417976485622e+02
