# Time Picea Larix Shrub Sphagnum_hum Sphagnum_hol water_table
2.479452054794521187e-01 -3.276753685340618328e-03 1.499941411864994800e-01 1.030665286436901890e-01 -1.089073837510189102e-02 3.100259077030273133e-02 -1.386870794412530250e-01
2.506849315068493955e-01 -3.401545612034278902e-03 1.499941415642112585e-01 1.030665286436901890e-01 -1.178578580732969616e-02 3.096312761183955820e-02 -1.412218455682537344e-01
2.534246575342466445e-01 -3.529195560031973215e-03 1.499941415642112585e-01 1.030665286436901890e-01 -1.269885927200128072e-02 3.091616425933663842e-02 -1.438255805209723293e-01
2.561643835616438936e-01 -3.659855742018719525e-03 1.499941415642112585e-01 1.030665286436901890e-01 -1.363580460651783212e-02 3.086114878993166319e-02 -1.464514269378816846e-01
2.589041095890411426e-01 -3.793438385050405294e-03 1.499941411863739416e-01 1.030665285161362771e-01 -1.459964439138474943e-02 3.079798971451998962e-02 -1.491286244460435784e-01
2.616438356164384471e-01 -3.930053094547846307e-03 1.499941404306155690e-01 1.030665285161362771e-01 -1.559367610638420776e-02 3.072630988046453487e-02 -1.518513886109347233e-01
2.643835616438356961e-01 -4.069596479983838243e-03 1.499941404306155690e-01 1.030665288838731597e-01 -1.661651300070905724e-02 3.064593180979738665e-02 -1.545952553131725582e-01
2.671232876712329452e-01 -4.211149181255828024e-03 1.499941400526526580e-01 1.030665288838731597e-01 -1.765206545952173120e-02 3.055941928949773567e-02 -1.575903912595447154e-01
2.698630136986301942e-01 -4.354654007301467927e-03 1.499941400526526580e-01 1.030665288838731597e-01 -1.868725062303061568e-02 3.046774426499872929e-02 -1.608799183646143494e-01
2.726027397260274432e-01 -4.500593063155098987e-03 1.499941400526526580e-01 1.030665288838731597e-01 -1.972510712228886520e-02 3.037030366268665335e-02 -1.640970670240561036e-01
2.753424657534246922e-01 -4.648177494105922708e-03 1.499941404307412463e-01 1.030665288838731597e-01 -2.077224667652406015e-02 3.026797980558472087e-02 -1.672401348286959855e-01
2.780821917808219967e-01 -4.798591769298221968e-03 1.499941408088718009e-01 1.030665283882796213e-01 -2.183908559869976798e-02 3.015759685161439885e-02 -1.703316756300238821e-01
2.808219178082191902e-01 -4.951318335133126670e-03 1.499941408088718009e-01 1.030665283882796213e-01 -2.293294480484778242e-02 3.003835491297340496e-02 -1.733835271249555832e-01
