# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 1.296448283482032160e+01 1.408259959105553527e+01 1.682344113489611104e+01 2.071532966725950686e+01 2.472129463536258953e+01 2.967755408375705173e+01
2.016000000000000000e+03 1.253121639217786765e+01 1.517965429733372140e+01 1.902118545189699006e+01 2.437478177972172588e+01 2.998708030608225883e+01 3.765089640132605808e+01
2.017000000000000000e+03 1.204388375455782167e+01 1.485784710991776336e+01 1.889673049229747548e+01 2.379265908330032175e+01 2.991233807306545955e+01 3.860023109359951121e+01
2.018000000000000000e+03 1.266490697655795827e+01 1.642000240320280824e+01 2.175415475427704948e+01 2.742769747745407827e+01 3.488284896552335823e+01 4.463332374660755875e+01
2.019000000000000000e+03 1.357009875523447562e+01 1.713799674309132115e+01 2.279316363525398970e+01 2.995622818295523615e+01 3.937734026399775189e+01 5.252085922205066026e+01
2.020000000000000000e+03 1.192724699522799625e+01 1.558726670363587274e+01 2.087635210740659986e+01 2.743002786932349579e+01 3.551629726051506708e+01 4.885233817353147856e+01
2.021000000000000000e+03 1.067473491240771288e+01 1.391179089542381142e+01 1.903369429001576663e+01 2.517556055573408713e+01 3.371477100966595941e+01 4.554186187569100497e+01
2.022000000000000000e+03 1.184254922494504036e+01 1.619862282371250473e+01 2.248127623643392070e+01 3.016287946340585790e+01 4.109510920808041590e+01 5.612347482478944727e+01
2.023000000000000000e+03 1.231451156922066303e+01 1.681015606442999655e+01 2.293793320818911141e+01 3.041298143908500151e+01 4.021437247478707633e+01 5.724288050291548302e+01
2.024000000000000000e+03 1.167360171918311984e+01 1.617024565829861871e+01 2.209996114430883196e+01 2.941750901084034808e+01 3.929726589593531827e+01 5.513080071721159214e+01
2.025000000000000000e+03 1.260553429405395320e+01 1.719226697867638620e+01 2.374357202296456393e+01 3.094796873025770978e+01 4.112293202084051558e+01 5.815769187499340376e+01
