# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 1.296448283482032160e+01 1.445399275187346966e+01 1.726818274887884996e+01 2.120309418386552380e+01 2.519645277941116390e+01 3.011654699867421314e+01
2.016000000000000000e+03 1.253121639217786765e+01 1.605294491531590850e+01 2.039253059241797672e+01 2.629853959551241260e+01 3.241405532418749402e+01 4.065212822563113804e+01
2.017000000000000000e+03 1.204388375455782167e+01 1.530670336912953111e+01 1.975430472102188162e+01 2.475404921221510435e+01 3.100668748078137682e+01 3.995421334727713258e+01
2.018000000000000000e+03 1.266490697655795827e+01 1.695151749329707869e+01 2.263953189736419702e+01 2.849311118256052211e+01 3.649335439090029354e+01 4.668304477901637739e+01
2.019000000000000000e+03 1.357009875523447562e+01 1.759615771346795299e+01 2.352231531389001873e+01 3.083218701513712645e+01 4.067311793333736603e+01 5.390862461473816580e+01
2.020000000000000000e+03 1.192724699522799625e+01 1.605712299462211590e+01 2.130485622253895173e+01 2.846981678615276579e+01 3.764031847508947948e+01 5.073676178681147775e+01
2.021000000000000000e+03 1.067473491240771288e+01 1.405451086786980142e+01 1.886788271319723620e+01 2.562871381124134373e+01 3.474039718812136357e+01 4.675578092831455734e+01
2.022000000000000000e+03 1.184254922494504036e+01 1.626124438834797559e+01 2.232146611572077077e+01 3.036897391815123370e+01 4.211099210636754719e+01 5.725486570300546418e+01
2.023000000000000000e+03 1.231451156922066303e+01 1.696198633802545785e+01 2.334243697312432531e+01 3.142383176141856183e+01 4.216459503306886347e+01 5.792544275048925329e+01
2.024000000000000000e+03 1.167360171918311984e+01 1.624407243360581532e+01 2.228767901806249796e+01 2.982501910813461876e+01 3.996054192500447044e+01 5.539511875274803288e+01
2.025000000000000000e+03 1.260553429405395320e+01 1.755452725406659908e+01 2.431536280060328181e+01 3.182699686670824590e+01 4.232223602227880122e+01 5.780741100339712091e+01
