# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 1.777312302644531883e+02 1.924332569608850179e+02 2.170380529877547815e+02 2.465199736308022693e+02 2.781637681369829806e+02 3.187182531638426894e+02
2.016000000000000000e+03 1.900219267121428572e+02 2.178150053143326375e+02 2.396972339774038119e+02 2.741433534066346169e+02 3.161726852657011477e+02 3.506139818951851908e+02
2.017000000000000000e+03 1.948977847900096094e+02 2.121477074966605869e+02 2.368355187340057455e+02 2.629808251393114915e+02 2.928729633005787605e+02 3.154941644954305957e+02
2.018000000000000000e+03 1.865367533513562819e+02 2.043299581291648792e+02 2.299822769101410529e+02 2.550867470215962101e+02 2.869210531853241264e+02 3.056458600449331584e+02
2.019000000000000000e+03 1.809214034582510351e+02 1.956012028331314809e+02 2.253317339640489081e+02 2.623804303892029566e+02 2.972746452520368621e+02 3.120704455886880737e+02
2.020000000000000000e+03 1.750325592858644086e+02 1.881155426799523127e+02 2.023711286827164884e+02 2.262621583377040224e+02 2.473163859395754116e+02 2.438594575657589019e+02
2.021000000000000000e+03 1.713087777497094066e+02 1.839546213250286826e+02 2.050417023931004223e+02 2.283303348130175436e+02 2.470684919693667041e+02 2.196477304346444726e+02
2.022000000000000000e+03 1.734371275272678758e+02 1.862267462985983002e+02 2.075702028520936437e+02 2.321603094307647552e+02 2.544783329830351875e+02 2.280813737831522303e+02
2.023000000000000000e+03 1.885385633571786457e+02 2.101236161674023890e+02 2.260893539793869422e+02 2.485619459709596413e+02 2.586805987416482822e+02 2.183110864404625033e+02
2.024000000000000000e+03 1.938335465802083490e+02 2.053480255061003561e+02 2.249918038951363997e+02 2.390840809794099187e+02 2.421046425243730482e+02 1.918134057278621185e+02
2.025000000000000000e+03 1.853286186518743932e+02 1.994642426837345113e+02 2.196682362598039617e+02 2.361555058605517843e+02 2.424920316501811044e+02 1.906732160369756173e+02
