# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 1.777312302644531883e+02 2.034344578431955313e+02 2.310744722081835789e+02 2.641067106024820532e+02 2.981060009768044097e+02 3.411977300212129762e+02
2.016000000000000000e+03 1.900219267121428572e+02 2.323702593528651050e+02 2.580281832770196502e+02 2.955015825929876883e+02 3.407356726705984897e+02 3.990468893332944731e+02
2.017000000000000000e+03 1.948977847900096094e+02 2.313341167880935529e+02 2.617431484793996788e+02 2.939330517709095147e+02 3.315995246624879655e+02 3.761313852246530018e+02
2.018000000000000000e+03 1.865367533513562819e+02 2.268828970079994178e+02 2.577776207503120531e+02 2.899270808171422686e+02 3.338800915860701934e+02 3.806368174748058664e+02
2.019000000000000000e+03 1.809214034582510351e+02 2.210091735376409190e+02 2.572490396369175869e+02 3.074393532368958972e+02 3.592594145842667785e+02 4.114430956433351980e+02
2.020000000000000000e+03 1.750325592858644086e+02 2.151176257471888675e+02 2.332264974963436543e+02 2.686643429071409628e+02 3.074007245280881193e+02 3.544335348146887554e+02
2.021000000000000000e+03 1.713087777497094066e+02 2.099499125503826065e+02 2.404566971928943531e+02 2.774633093337797618e+02 3.185108599342129310e+02 3.470618463031314036e+02
2.022000000000000000e+03 1.734371275272678758e+02 2.148366771598375919e+02 2.437725214442253048e+02 2.834597573062637821e+02 3.342998379088385263e+02 3.789163152028777972e+02
2.023000000000000000e+03 1.885385633571786457e+02 2.415125686786268204e+02 2.678474755017305142e+02 3.074302588613135754e+02 3.478414919807619299e+02 3.854827009976361296e+02
2.024000000000000000e+03 1.938335465802083490e+02 2.367973857566539664e+02 2.672168727343888008e+02 2.970896127635568860e+02 3.311716472830084967e+02 3.580133059000218054e+02
2.025000000000000000e+03 1.853286186518743932e+02 2.319995253428714648e+02 2.624728784920080784e+02 2.949252525373594835e+02 3.330940511605149936e+02 3.641084702334410395e+02
