# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 2.935667449919417415e-01 3.228912119728142849e-01 3.355615675351295568e-01 3.609418789752677492e-01 3.702475023522896480e-01 3.817430936042474632e-01
2.016000000000000000e+03 2.914266685481491925e-01 3.500565829025007458e-01 4.035141744634953009e-01 4.684566930357417780e-01 5.010470949702920951e-01 5.622512352671984459e-01
2.017000000000000000e+03 2.878265029830899824e-01 3.619843033442197155e-01 4.192308756400139891e-01 4.759198174846186458e-01 5.365283229027887346e-01 6.408133984214868795e-01
2.018000000000000000e+03 2.845047883234905206e-01 3.880902368075486164e-01 4.794288790554785962e-01 5.396545816461670864e-01 6.244259900120022744e-01 7.148506079130639845e-01
2.019000000000000000e+03 3.091550212468288650e-01 3.996051897288440680e-01 4.775783676693171054e-01 5.540124524975584830e-01 6.674788309969262867e-01 8.134104111997334519e-01
2.020000000000000000e+03 2.779536426511111102e-01 3.794582531178666840e-01 4.839629085938213504e-01 5.674110458883112607e-01 6.600794308053405945e-01 8.199596348416365865e-01
2.021000000000000000e+03 2.687338728004785571e-01 3.354138728342623277e-01 4.026706136631131860e-01 4.665483200225711280e-01 5.734572182659838369e-01 7.109493197121319330e-01
2.022000000000000000e+03 2.788407325300895079e-01 3.979379602913243885e-01 5.092313653511280069e-01 6.222159264444162563e-01 7.514488951797431149e-01 8.994458447790972810e-01
2.023000000000000000e+03 2.897677644170595923e-01 3.959517810115756320e-01 4.980407673659836276e-01 5.896863793460883629e-01 6.913598539721546032e-01 9.234101196093970065e-01
2.024000000000000000e+03 2.798275734795487302e-01 4.040123125740760490e-01 5.108120356013436947e-01 6.236349618723392441e-01 7.479186690213918132e-01 9.675884288512026643e-01
2.025000000000000000e+03 2.899040859769902445e-01 4.056859313370022035e-01 5.169186992704715156e-01 5.927319559715178432e-01 7.072120060177377043e-01 8.903858221652327654e-01
