# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 2.935667449919417415e-01 3.228912119728142849e-01 3.355851687034847042e-01 3.609418789752677492e-01 3.702711943929300475e-01 3.818054269053590688e-01
2.016000000000000000e+03 2.914266685481491925e-01 3.672508336016780950e-01 4.335214493869586905e-01 5.127399209446643624e-01 5.574960213454364100e-01 6.363094173181221835e-01
2.017000000000000000e+03 2.878265029830899824e-01 3.651504002684778927e-01 4.323925671633158663e-01 4.843171811840825680e-01 5.451519039563782476e-01 6.514453210153302587e-01
2.018000000000000000e+03 2.845047883234905206e-01 3.898459895207763704e-01 4.875786986154159730e-01 5.529794546949744483e-01 6.521921030111763606e-01 7.687007377868237956e-01
2.019000000000000000e+03 3.091550212468288650e-01 3.976395560715551558e-01 4.803970652453805612e-01 5.575623386343366850e-01 6.793438444890030903e-01 8.273725432681864334e-01
2.020000000000000000e+03 2.779536426511111102e-01 3.759602458626095656e-01 4.756807087904658671e-01 5.800970884251698267e-01 7.112705405409230908e-01 8.924106349135200178e-01
2.021000000000000000e+03 2.687338728004785571e-01 3.275054948480579653e-01 3.787709357735241644e-01 4.590819754209193859e-01 5.723112229954718799e-01 7.136012725251382749e-01
2.022000000000000000e+03 2.788407325300895079e-01 3.828805506382494950e-01 4.828449454863714130e-01 6.042017700074061581e-01 7.631422537752133861e-01 9.384623011562985839e-01
2.023000000000000000e+03 2.897677644170595923e-01 3.881563904727854952e-01 4.980702274108994576e-01 6.108044988303509282e-01 7.335445259665840378e-01 9.530061010054426962e-01
2.024000000000000000e+03 2.798275734795487302e-01 3.927672980477625031e-01 4.997521140107929472e-01 6.118279980996317313e-01 7.376289247410779959e-01 9.636256079010869779e-01
2.025000000000000000e+03 2.899040859769902445e-01 4.050754210019439361e-01 5.203917829543096563e-01 6.089808253883958189e-01 7.258278254061947266e-01 9.023130805040263658e-01
