# time TAMB T0.00 T2.25 T4.50 T6.75 T9.00
2.015000000000000000e+03 4.323958526936372282e-01 4.749727947806480222e-01 4.916968834540194067e-01 5.300102850894702344e-01 5.436880959682677261e-01 5.602911803230311572e-01
2.016000000000000000e+03 4.155807802797401029e-01 4.583020662927158040e-01 4.996118999264930194e-01 5.492593342425582392e-01 5.672738624587958522e-01 6.135672104653379089e-01
2.017000000000000000e+03 4.239121301402258291e-01 4.923190114081977820e-01 5.493090962191760074e-01 5.891960718472845082e-01 6.265373517950512117e-01 6.987025751965120213e-01
2.018000000000000000e+03 3.965394437661528548e-01 4.773600496311850572e-01 5.425141222410486685e-01 5.870066271941751790e-01 6.479352411928854805e-01 7.101065302283617875e-01
2.019000000000000000e+03 4.450819923300041170e-01 5.164959468904321005e-01 5.848186345571214639e-01 6.502874016085613551e-01 7.411140764226231692e-01 8.601538201806786521e-01
2.020000000000000000e+03 3.932877296714875071e-01 4.781928540983281795e-01 5.672445006783388699e-01 6.363407067222558444e-01 7.014700154713291447e-01 8.126024864601252284e-01
2.021000000000000000e+03 3.856163131726956794e-01 4.344905380339023626e-01 4.933390062934263076e-01 5.542062202171894603e-01 6.536827687780079055e-01 7.668877148661086274e-01
2.022000000000000000e+03 4.098812259478918918e-01 5.350507589818571663e-01 6.524620267975005383e-01 7.481169189474775605e-01 8.478981472245634698e-01 9.482068720752092617e-01
2.023000000000000000e+03 4.189089830186724650e-01 4.988444863017034714e-01 5.814664969381825310e-01 6.618830387401218873e-01 7.499549627294906928e-01 9.637381067403834045e-01
2.024000000000000000e+03 4.088621636378987345e-01 5.464137792408670924e-01 6.800834915953152260e-01 7.875397435780168154e-01 8.932460319202980559e-01 1.049381803471295171e+00
2.025000000000000000e+03 4.043062232450697069e-01 5.074584649920412804e-01 5.966405795332145878e-01 6.710292300706959256e-01 7.808453481508790262e-01 9.675769557589537495e-01
