# time TAMB T0.00CO2 T2.25CO2 T4.50CO2 T6.75CO2 T9.00CO2
2.015000000000000000e+03 4.323958526936372282e-01 4.749727947806480222e-01 4.917382120244103150e-01 5.300102850894702344e-01 5.437295685267101719e-01 5.603751362333303510e-01
2.016000000000000000e+03 4.155807802797401029e-01 4.821034160815817482e-01 5.341853496427998449e-01 5.914437076753030764e-01 6.161239767689512536e-01 6.718917927513383681e-01
2.017000000000000000e+03 4.239121301402258291e-01 4.905136980641531808e-01 5.563960876503263320e-01 5.910092830568653977e-01 6.296514454164761077e-01 7.040534231929372888e-01
2.018000000000000000e+03 3.965394437661528548e-01 4.853806112586737664e-01 5.600351670235459434e-01 6.055389205682767395e-01 6.770478868955899232e-01 7.562598656008198139e-01
2.019000000000000000e+03 4.450819923300041170e-01 5.051918605623180181e-01 5.787682387046515498e-01 6.403837385008507299e-01 7.366366418116815362e-01 8.596450981377841138e-01
2.020000000000000000e+03 3.932877296714875071e-01 4.741109936832998972e-01 5.607911267330589755e-01 6.418092516674708259e-01 7.353460395900047741e-01 8.713444973814160610e-01
2.021000000000000000e+03 3.856163131726956794e-01 4.191026584149979417e-01 4.675696451137199561e-01 5.381055556433052001e-01 6.478827328601379776e-01 7.746351181848408762e-01
2.022000000000000000e+03 4.098812259478918918e-01 5.094150904949582559e-01 6.183410951798129496e-01 7.221523546492553125e-01 8.519632689597417263e-01 9.958217901267009120e-01
2.023000000000000000e+03 4.189089830186724650e-01 4.765773373863688711e-01 5.609459733309810625e-01 6.522688102525696641e-01 7.598329025078309762e-01 9.662904273010535228e-01
2.024000000000000000e+03 4.088621636378987345e-01 5.144517054567623315e-01 6.443863954422963669e-01 7.590546988371810189e-01 8.841122172256191680e-01 1.088517946444694129e+00
2.025000000000000000e+03 4.043062232450697069e-01 4.861890649163062017e-01 5.804033749224937200e-01 6.575991470143454087e-01 7.744329754881120742e-01 9.543870697818594984e-01
