YEAR, DOY, HOUR, YEAR_GMT, DOY_GMT, HOUR_GMT,Tair, Tair_f,RH, RH_f,Wind, Wind_f,Rainf, Rainf_f,Psurf, PSurf_f,PAR, PAR_f,Lwdown, LWdown_f, SolarElevation
YEAR, DOY, HOUR, YEAR_GMT, DOY_GMT, HOUR_GMT,K, ---,%, ---,m/s, ---,kg/m2/s, ---,Pa, ---,umol/m2/s, ---,W/m2, ---, degree
2016,1,0,2016,1,6,262.86,0,89.4,0,0.482,0,-999,1,94400,0,0,0,270.0547,0,-65.484924
2016,1,0.5,2016,1,6.5,262.92,0,90.2,0,0.498,0,-999,1,94400,0,0,0,270.0755,0,-64.88652
2016,1,1,2016,1,7,262.96,0,91.2,0,0.352,0,-999,1,94400,0,0,0,270.1684,0,-62.938969
2016,1,1.5,2016,1,7.5,263.19,0,91.4,0,0.501,0,-999,1,94400,0,0,0,270.8675,0,-59.913342
2016,1,2,2016,1,8,263.43,0,92.2,0,0.49,0,-999,1,94500,0,0,0,272.1531,0,-56.112953
2016,1,2.5,2016,1,8.5,263.61,0,92.6,0,0.469,0,-999,1,94500,0,0,0,273.1967,0,-51.78862
2016,1,3,2016,1,9,263.68,0,92.7,0,0.572,0,-999,1,94600,0,0,0,273.5957,0,-47.12291
2016,1,3.5,2016,1,9.5,263.67,0,93.1,0,0.612,0,-999,1,94600,0,0,0,273.9943,0,-42.243805
2016,1,4,2016,1,10,263.76,0,94,0,0.506,0,-999,1,94600,0,0,0,274.5734,0,-37.242146
2016,1,4.5,2016,1,10.5,263.87,0,94.4,0,0.503,0,-999,1,94700,0,0,0,274.8097,0,-32.185188
2016,1,5,2016,1,11,263.98,0,94.6,0,0.599,0,-999,1,94700,0,0,0,275.6912,0,-27.125793
2016,1,5.5,2016,1,11.5,264.14,0,94.6,0,0.459,0,-999,1,94700,0,0,0,275.6803,0,-22.108505
2016,1,6,2016,1,12,264.24,0,94.7,0,0.491,0,-999,1,94800,0,0,0,276.0122,0,-17.173592
2016,1,6.5,2016,1,12.5,264.31,0,94,0,0.378,0,-999,1,94800,0,0,0,275.4994,0,-12.359854
2016,1,7,2016,1,13,264.2,0,94.1,0,0.441,0,-999,1,94800,0,0,0,274.1016,0,-7.706644
2016,1,7.5,2016,1,13.5,264.4,0,93.1,0,0.597,0,-999,1,94800,0,0,0,275.1851,0,-3.255358
2016,1,8,2016,1,14,264.44,0,91.7,0,0.458,0,-999,1,94800,0,0,0,274.6375,0,0.949492
2016,1,8.5,2016,1,14.5,264.23,0,90.6,0,0.5,0,-999,1,94800,0,0,0,268.5443,0,4.859649
2016,1,9,2016,1,15,263.03,0,92.1,0,0.346,0,-999,1,94500,0,21.75,0,259.9894,0,8.423022
2016,1,9.5,2016,1,15.5,264.11,0,91,0,0.358,0,-999,1,94300,0,34.64,0,270.6299,0,11.584336
2016,1,10,2016,1,16,265.749,0,85.4,0,0.409,0,-999,1,94900,0,31.78,0,281.0493,0,14.286717
2016,1,10.5,2016,1,16.5,266.45,0,82.4,0,0.52,0,-999,1,95300,0,34.63,0,285.0026,0,16.474396
2016,1,11,2016,1,17,267.192,0,80.4,0,0.618,0,-999,1,95500,0,47.51,0,288.8246,0,18.096457
2016,1,11.5,2016,1,17.5,268.288,0,76.57,0,0.641,0,-999,1,95900,0,227.2,0,288.8347,0,19.111301
2016,1,12,2016,1,18,269.355,0,72.13,0,0.831,0,-999,1,96400,0,430.3,0,287.546,0,19.491047
2016,1,12.5,2016,1,18.5,270.318,0,67.9,0,0.765,0,-999,1,97000,0,502.4,0,292.5443,0,19.224861
2016,1,13,2016,1,19,270.95,0,66.06,0,0.801,0,-999,1,97300,0,662.7,0,294.8566,0,18.32036
2016,1,13.5,2016,1,19.5,271.293,0,64.59,0,0.744,0,-999,1,97700,0,666.1,0,297.3246,0,16.80262
2016,1,14,2016,1,20,271.386,0,64.75,0,0.977,0,-999,1,97600,0,328.7,0,296.9076,0,14.711124
2016,1,14.5,2016,1,20.5,271.031,0,66.25,0,0.825,0,-999,1,97400,0,245.5,0,293.5688,0,12.09548
2016,1,15,2016,1,21,270.365,0,68.64,0,0.787,0,-999,1,97200,0,96.6,0,290.6796,0,9.010902
2016,1,15.5,2016,1,21.5,269.957,0,70.6,0,0.771,0,-999,1,96800,0,62.9,0,288.3345,0,5.514295
2016,1,16,2016,1,22,269.381,0,72.65,0,0.778,0,-999,1,96500,0,45.47,0,285.2256,0,1.661364
2016,1,16.5,2016,1,22.5,268.553,0,76.29,0,0.652,0,-999,1,96300,0,23.74,0,280.0537,0,-2.49517
2016,1,17,2016,1,23,267.782,0,79.34,0,0.67,0,-999,1,96000,0,1.43,0,277.1991,0,-6.906361
2016,1,17.5,2016,1,23.5,266.916,0,82.6,0,0.461,0,-999,1,95600,0,0,0,272.541,0,-11.527069
2016,1,18,2016,2,0,266.206,0,85.6,0,0.487,0,-999,1,95400,0,0,0,269.1742,0,-16.315416
2016,1,18.5,2016,2,0.5,266.222,0,86,0,0.703,0,-999,1,95200,0,0,0,271.4426,0,-21.231785
2016,1,19,2016,2,1,265.879,0,86.8,0,0.569,0,-999,1,95100,0,0,0,270.4512,0,-26.237408
2016,1,19.5,2016,2,1.5,265.344,0,88.8,0,0.444,0,-999,1,94900,0,0,0,267.7869,0,-31.29245
2016,1,20,2016,2,2,265,0,90.2,0,0.435,0,-999,1,94700,0,0,0,265.9695,0,-36.353371
2016,1,20.5,2016,2,2.5,264.22,0,91.9,0,0.366,0,-999,1,94600,0,0,0,262.4449,0,-41.369148
2016,1,21,2016,2,3,263.32,0,93.7,0,0.322,0,-999,1,94300,0,0,0,259.0273,0,-46.275627
2016,1,21.5,2016,2,3.5,262.73,0,95.5,0,0.455,0,-999,1,94000,0,0,0,257.8131,0,-50.986961
2016,1,22,2016,2,4,262.47,0,95.5,0,0.323,0,-999,1,93900,0,0,0,257.3992,0,-55.382912
2016,1,22.5,2016,2,4.5,262.75,0,96.5,0,0.371,0,-999,1,93800,0,0,0,261.0074,0,-59.291828
2016,1,23,2016,2,5,263.57,0,95,0,0.431,0,-999,1,94100,0,0,0,263.8653,0,-62.475121
2016,1,23.5,2016,2,5.5,262.96,0,94.1,0,0.399,0,-999,1,94100,0,0,0,262.7211,0,-64.634964
2016,2,0,2016,2,6,261.81,0,94,0,0.273,0,-999,1,93900,0,0,0,259.1814,0,-65.395981
2016,2,0.5,2016,2,6.5,260.64,0,94.3,0,0.203,0,-999,1,93600,0,0,0,255.3971,0,-64.820099
2016,2,1,2016,2,7,259.94,0,94.2,0,0.224,0,-999,1,93300,0,0,0,251.9536,0,-62.895016
2016,2,1.5,2016,2,7.5,259.72,0,94.5,0,0.264,0,-999,1,93100,0,0,0,250.1496,0,-59.888489
2016,2,2,2016,2,8,259.35,0,93.1,0,0.215,0,-999,1,93000,0,0,0,249.3267,0,-56.102711
